Season,Team,Age,Win_loss_percentage,Pace
2014-15,Golden State Warriors,26.4,.762,93.7
2014-15,Cleveland Cavaliers,26.6,.700,90.7
2014-15,Washington Wizards,27.5,.600,94.6
2014-15,Chicago Bulls,28.7,.500,90.4
2014-15,Los Angeles Clippers,28.8,.500,98.7
2014-15,San Antonio Spurs,30.3,.429,94.5
2014-15,Atlanta Hawks,27.7,.500,93.5
2014-15,Memphis Grizzlies,30.3,.545,91.9
2014-15,Houston Rockets,28.8,.529,101.5
2014-15,Dallas Mavericks,30.4,.200,101.9
2014-15,Brooklyn Nets,28.6,.333,94.0
2014-15,Portland Trail Blazers,25.9,.200,92.0
